ledger_id,vin,month_date,customer_id,model_id,principal_amount,interest_amount,year_model,collateral
16321,JN8CT3MT2RW002521,2026-02-01,,706,560200.00,2975.01,2024,SEMINUEVOS 
16322,MEX5A2600MT150112,2026-02-01,,703,152000.00,222.68,2021,SEMINUEVOS 
16323,3N1AB8AE4SY419083,2026-02-01,,694,409779.92,336.20,2025,NUEVO 
16324,3N1CN7AE5SK416173,2026-02-01,,702,275746.56,15.24,2025,NUEVO 
16325,3N1CN8AE9SL891907,2026-02-01,,704,346452.04,2283.99,2025,NUEVO 
16326,3N6AD33A3TK805953,2026-02-01,,663,662512.60,4529.38,2026,NUEVO 
16327,3N6AD33A5TK805419,2026-02-01,,663,582836.84,1423.09,2026,NUEVO 
16328,3N8AP6HE7TL344049,2026-02-01,,672,506464.76,539.67,2026,NUEVO 
16329,3N8AP6HE9TL342450,2026-02-01,,672,506464.76,3777.66,2026,NUEVO 
16330,3N8AP6HEXTL328637,2026-02-01,,672,482601.24,3299.38,2026,NUEVO 
16331,3N8AP6HE8TL341869,2026-02-01,,672,482601.24,2945.88,2026,NUEVO 
16332,1N4AL4AP9PN393904,2026-02-01,,650,403000.00,2041.78,2023,SEMINUEVOS 
16333,MNTFP5CP2T6019915,2026-02-01,,672,575294.52,3933.10,2026,NUEVO 
16334,MNTFP5CP0T6020108,2026-02-01,,672,554293.88,3789.52,2026,NUEVO 
16335,MNTFP5CP7T6019697,2026-02-01,,672,575294.52,3933.10,2026,NUEVO 
16336,MNTFP5CP4T6020435,2026-02-01,,672,554293.88,3789.52,2026,NUEVO 
16337,3N1CK3CE2SL222337,2026-02-01,,678,285561.33,348.62,2025,NUEVO 
16338,3N1CK3CE5SL222218,2026-02-01,,678,285561.33,348.62,2025,NUEVO 
16339,3N6AD33AXTK805948,2026-02-01,,663,662512.60,4529.38,2026,NUEVO 
16340,3N6AD33B0TK803120,2026-02-01,,663,689636.88,4041.27,2026,NUEVO 
16341,3N6AD33B9TK805853,2026-02-01,,663,689636.89,4714.82,2026,NUEVO 
16342,3N6AD31A9TK806141,2026-02-01,,682,439774.05,3006.59,2026,NUEVO 
16343,JN8CT3MT0TW011841,2026-02-01,,706,852216.04,752.90,2026,NUEVO 
16344,3N8AP6HE6TL344351,2026-02-01,,672,506464.77,3462.53,2026,NUEVO 
16345,3N8AP6HE7TL345976,2026-02-01,,672,506464.77,3462.53,2026,NUEVO 
16346,3N8AP6HE7TL341961,2026-02-01,,672,482601.25,3299.38,2026,NUEVO 
16347,3N8AP6HE9TL345932,2026-02-01,,672,538755.69,1374.40,2026,NUEVO 
16348,MDHBD0FA5SG009266,2026-02-01,,677,392658.33,900.73,2025,NUEVO 
16349,JN1BE6DS6N9042073,2026-02-01,,683,438700.00,2872.42,2022,SEMINUEVOS 
16350,JN1BE6DSXM9040308,2026-02-01,,683,404600.00,2576.23,2021,SEMINUEVOS 
16351,JN1BE6DS6L9036626,2026-02-01,,683,372600.00,1432.44,2020,SEMINUEVOS 
16352,LSGKB5417NV057698,2026-02-01,,656,205200.00,1343.56,2022,SEMINUEVOS 
16353,VF1HR2NB8PC382526,2026-02-01,,673,292300.00,1913.85,2023,SEMINUEVOS 
16354,MNTFP5CP2T6020093,2026-02-01,,672,544669.37,1177.85,2026,FLOTILLA 
16355,3N1CN8AEXSL890474,2026-02-01,,704,346452.05,247.14,2025,NUEVO 
16356,3N1CN8AE2SL890453,2026-02-01,,704,346452.05,247.14,2025,NUEVO 
16357,3N1CN8AE7SL892912,2026-02-01,,704,346452.05,2306.60,2025,NUEVO 
16358,3N1CN8AEXSL892838,2026-02-01,,704,346452.05,2306.60,2025,NUEVO 
16359,3N8AP6HE3TL354061,2026-02-01,,672,506464.76,1806.39,2026,FLOTILLA 
16360,3N1CN8AE5SL891743,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16361,3N1CN8AE9SL893057,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16362,3N1CN8AE6SL893534,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16363,3N1CN8AE5SL893637,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16364,3N1CN8AE1SL890542,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16365,3N1CN8AE2SL893319,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16366,3N1CN8AE1SL893831,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16367,3N1CN8AE3SL891725,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16368,3N1CN8AE7SL893459,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16369,3N1CN8AE4SL890549,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16370,3N1CN8AE4SL890695,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16371,3N1CN8AE1SL890623,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16372,3N1CN8AE5SL890575,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16373,3N1CN8AEXSL891740,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16374,3N1CN8AE1SL891948,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16375,3N1CN8AE0SL890600,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16376,3N1CN8AE6SL892464,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16377,3N1CN8AE5SL892620,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16378,3N1CN8AE4SL892589,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16379,3N1CN8AEXSL890622,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16380,3N1CN8AE6SL893226,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16381,3N1CN8AE5SL893377,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16382,3N1CN8AE0SL894078,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16383,3N1CN8AE9SL893964,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16384,3N1CN8AE9SL890563,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16385,3N1CN8AE6SL896479,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16386,3N1CN8AE6SL892304,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16387,3N1CN8AE1SL892520,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16388,3N1CN8AE6SL892934,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16389,3N1CN8AE3SL892583,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16390,3N1CN8AE2SL890551,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16391,3N1CN8AE7SL890447,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16392,3N1CN8AE3SL890493,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16393,3N1CN8AE8SL892174,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16394,3N1CN8AE7SL892120,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16395,3N1CN8AE5SL892195,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16396,3N1CN8AE0SL892024,2026-02-01,,704,346452.05,2059.47,2025,FLOTILLA 
16397,3N1CN8AE9SL892250,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16398,3N1CN8AE6SL892366,2026-02-01,,704,346452.05,2141.84,2025,FLOTILLA 
16399,3N1CN8AE8SL892398,2026-02-01,,704,346452.05,2306.60,2025,FLOTILLA 
16400,JN6BE6CS2S9124177,2026-02-01,,701,548038.01,3648.72,2025,FLOTILLA 
16401,JN6BE6CS2S9124048,2026-02-01,,701,548038.01,3648.72,2025,FLOTILLA 
16402,JN6BE6CS9S9124063,2026-02-01,,701,548038.01,3648.72,2025,FLOTILLA 
16403,JN8CT3MT2TW012165,2026-02-01,,706,771255.11,4584.68,2026,FLOTILLA 
16404,JN6BE6CS9S9124158,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16405,JN6BE6CS7S9124076,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16406,JN6BE6CSXS9124069,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16407,JN6BE6CS6S9124067,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16408,JN6BE6CS4S9124133,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16409,JN6BE6CSXS9124170,2026-02-01,,701,548038.01,3648.72,2025,FLOTILLA 
16410,JN8CT3MT3TW012112,2026-02-01,,706,771255.10,5134.85,2026,FLOTILLA 
16411,JN8CT3MT5TW012130,2026-02-01,,706,771255.10,5134.85,2026,FLOTILLA 
16412,JN8CT3MT7TW012162,2026-02-01,,706,771255.10,5134.85,2026,FLOTILLA 
16413,JN8CT3MT5TW012094,2026-02-01,,706,771255.10,5134.85,2026,FLOTILLA 
16414,JN6BE6CS3S9124169,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16415,JN6BE6CS7S9124174,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16416,JN8CT3MT0TW012133,2026-02-01,,706,771255.10,5134.85,2026,FLOTILLA 
16417,JN8CT3MT9TW012132,2026-02-01,,706,771255.10,4584.68,2026,FLOTILLA 
16418,JN8CT3MT4TW012135,2026-02-01,,706,771255.10,4584.68,2026,FLOTILLA 
16419,JN6BE6CS3S9124091,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16420,JN6BE6CS5S9124089,2026-02-01,,701,548038.00,3648.72,2025,FLOTILLA 
16421,3N1CN8AE0SL898163,2026-02-01,,704,361666.60,2433.21,2025,NUEVO 
16422,3N6AD33A2TK806687,2026-02-01,,663,439774.05,1223.40,2026,NUEVO 
16423,3N6AD31A7TK808860,2026-02-01,,682,439774.04,2958.70,2026,NUEVO 
16424,3N6AD33A9TK806542,2026-02-01,,663,486208.85,3141.88,2026,NUEVO 
16425,MDHBD0FA1SG021222,2026-02-01,,677,352728.80,2020.60,2025,NUEVO 
16426,3N6AD33A8TK808170,2026-02-01,,663,439774.05,1722.70,2026,NUEVO 
16427,3N6AD33A9TK809926,2026-02-01,,663,439774.04,2958.70,2026,NUEVO 
16428,JN8CT3MTXTW011877,2026-02-01,,706,852216.04,5733.52,2026,NUEVO 
16429,3N8AP6HEXTL344529,2026-02-01,,672,506464.77,3407.38,2026,NUEVO 
16430,3N8CP5HE1SL505383,2026-02-01,,672,429415.25,93.79,2025,NUEVO 
16431,3N8CP5HE4SL506723,2026-02-01,,672,429415.24,1866.58,2025,NUEVO 
16432,3N8AP6HE6TL345483,2026-02-01,,672,506464.76,3407.38,2026,NUEVO 
16433,3N8AP6HE6TL342681,2026-02-01,,672,482601.24,3246.83,2026,NUEVO 
16434,3N8AP6HE2TL343603,2026-02-01,,672,482601.24,3246.83,2026,NUEVO 
16435,3N8AP6HE4TL344932,2026-02-01,,672,482601.24,3246.83,2026,NUEVO 
16436,3N8AP6HE9TL352640,2026-02-01,,672,506464.76,3407.38,2026,NUEVO 
16437,LMWDT1G85N1112979,2026-02-01,,671,247400.00,1433.87,2022,SEMINUEVOS 
16438,93YHSCCX0PJ283673,2026-02-01,,659,238400.00,1587.21,2023,SEMINUEVOS 
16439,JN8BT27T2MW129327,2026-02-01,,706,236400.00,899.37,2021,SEMINUEVOS 
16440,3N1CK3CE1SL224256,2026-02-01,,678,265870.33,1390.80,2025,FLOTILLA 
16441,3N1CN8AE8SL898251,2026-02-01,,704,361666.60,288.33,2025,NUEVO 
16442,VF1LZ12TXHC305353,2026-02-01,,662,132500.00,882.16,2017,SEMINUEVOS 
16443,3N8AP6HE6TL354944,2026-02-01,,672,506464.76,118.62,2026,NUEVO 
16444,3N6AD35A2TK810090,2026-02-01,,682,438905.20,1054.59,2026,FLOTILLA 
16445,MDHBD0FAXSG028556,2026-02-01,,677,352728.80,2630.96,2025,NUEVO 
16446,MDHBD0FA5SG026259,2026-02-01,,677,352728.81,2308.05,2025,NUEVO 
16447,JN8CT3MT5TW011480,2026-02-01,,706,852216.03,5528.75,2026,NUEVO 
16448,JN8CT3MT6TW011987,2026-02-01,,706,852216.03,204.77,2026,NUEVO 
16449,MDHBD0FA1SG025139,2026-02-01,,677,392658.32,401.38,2025,NUEVO 
16450,MNTFP5CP5R6007007,2026-02-01,,672,375000.00,2496.67,2024,SEMINUEVOS 
16451,3N6CD33B0TK813087,2026-02-01,,663,534522.58,3558.73,2026,NUEVO 
16452,JN8CT3MT4TW012104,2026-02-01,,706,771255.11,5128.85,2026,FLOTILLA 
16453,JM1NDAC76P0554663,2026-02-01,,681,314900.00,1869.72,2023,SEMINUEVOS 
16454,9BHCP4AC3PP429172,2026-02-01,,665,224300.00,1491.60,2023,SEMINUEVOS 
16455,JN1BE6DS3N9042130,2026-02-01,,701,437600.00,2910.04,2022,SEMINUEVOS 
16456,LSGHD52H5LD115573,2026-02-01,,652,124900.00,830.59,2020,SEMINUEVOS 
16457,LSGHD52H1LD037597,2026-02-01,,652,124900.00,830.59,2020,SEMINUEVOS 
16458,JN1BE6DS1M9041315,2026-02-01,,701,403000.00,287.14,2021,SEMINUEVOS 
16459,9BWDL5BZXNP001422,2026-02-01,,705,193300.00,1285.45,2022,SEMINUEVOS 
16460,3G1MA5E26NL133256,2026-02-01,,684,153500.00,1020.78,2022,SEMINUEVOS 
16461,LSGEN53A8PD006581,2026-02-01,,684,218800.00,467.69,2023,SEMINUEVOS 
16462,9FB4SR4D9RM683192,2026-02-01,,676,191200.00,1226.07,2024,SEMINUEVOS 
16463,9FB4SR4D1RM533657,2026-02-01,,676,191200.00,1271.48,2024,SEMINUEVOS 
16464,JN8BT27T1MW129948,2026-02-01,,706,232600.00,393.91,2021,SEMINUEVOS 
16465,3N6CD33B5TK813229,2026-02-01,,663,534522.58,2031.19,2026,FLOTILLA 
16466,3N1CN8AE2SL899086,2026-02-01,,704,361666.60,1282.12,2025,NUEVO 
16467,MNTFP5CP4S6017470,2026-02-01,,672,541168.49,3213.19,2025,FLOTILLA 
16468,JN8CT3MT6TW011102,2026-02-01,,706,771255.10,5128.85,2026,FLOTILLA 
16469,3N6CD33B7TK813197,2026-02-01,,663,534522.59,3554.58,2026,NUEVO 
16470,MDHBD0FA4SG026415,2026-02-01,,677,392658.33,132.93,2025,NUEVO 
16471,3N6CD33B8TK813094,2026-02-01,,663,534522.58,2158.13,2026,FLOTILLA 
16472,3N6CD33B4TK813092,2026-02-01,,663,534522.58,2158.13,2026,FLOTILLA 
16473,JN6BE6CS8S9124118,2026-02-01,,701,548038.00,3644.45,2025,FLOTILLA 
16474,3N6CD33B3TK813147,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16475,3N6CD33B1TK813213,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16476,3N6CD33BXTK813369,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16477,3N6CD33B0TK813171,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16478,3N6CD33B4TK813237,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16479,3N6CD33B3TK813195,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16480,3N6CD33B7TK813233,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16481,3N6CD33B7TK813345,2026-02-01,,663,534522.59,2158.14,2026,FLOTILLA 
16482,MDHBD0FA5SG021899,2026-02-01,,677,392658.32,1303.55,2025,NUEVO 
16483,LSGKB541XNV057873,2026-02-01,,656,203200.00,1351.28,2022,SEMINUEVOS 
16484,MDHBD0FA1TG000601,2026-02-01,,677,366119.84,2173.84,2026,NUEVO 
16485,MDHBD0FA3SG028706,2026-02-01,,677,352728.80,1507.92,2025,NUEVO 
16486,3N8AP6HE3TL354058,2026-02-01,,672,538755.68,2175.23,2026,FLOTILLA 
16487,3N8AP6HE5TL353591,2026-02-01,,672,538755.68,2175.23,2026,FLOTILLA 
16488,3N8AP6HEXTL360214,2026-02-01,,672,538755.68,2175.23,2026,FLOTILLA 
16489,3N8AP6HE3TL361463,2026-02-01,,672,538755.68,2175.23,2026,FLOTILLA 
16490,MNTFP5CP4S6017324,2026-02-01,,672,561293.32,3732.60,2025,FLOTILLA 
16491,MNTFP5CP6T6020615,2026-02-01,,672,544669.37,3622.05,2026,FLOTILLA 
16492,MNTFP5CP5T6020685,2026-02-01,,672,544669.37,3622.05,2026,FLOTILLA 
16493,MNTFP5CP6T6019626,2026-02-01,,672,544669.37,3622.05,2026,FLOTILLA 
16494,MNTFP5CP9T6020415,2026-02-01,,672,544669.37,3622.05,2026,FLOTILLA 
16495,MNTFP5CP4T6020399,2026-02-01,,672,544669.37,3622.05,2026,FLOTILLA 
16496,JN8AT3MT2TW065679,2026-02-01,,706,587701.82,558.32,2026,NUEVO 
16497,3N1CK3CEXSL225972,2026-02-01,,678,265870.32,1768.04,2025,FLOTILLA 
16498,3N1CK3CE3SL225991,2026-02-01,,678,265870.32,1768.04,2025,FLOTILLA 
16499,3N1CK3CE7SL226013,2026-02-01,,678,265870.32,1768.04,2025,FLOTILLA 
16500,LSGKB5419NV002167,2026-02-01,,656,173800.00,1155.77,2022,SEMINUEVOS 
16501,LSGKB5417NV057586,2026-02-01,,656,173800.00,1155.77,2022,SEMINUEVOS 
16502,93YHSCCXXRJ530264,2026-02-01,,659,266700.00,1773.56,2024,SEMINUEVOS 
16503,93YHSCCX6RJ530326,2026-02-01,,659,266700.00,1773.56,2024,SEMINUEVOS 
16504,LZWLLNGL4PB032964,2026-02-01,,655,240000.00,1596.00,2023,SEMINUEVOS 
16505,MEX5J2609LT089230,2026-02-01,,703,159600.00,189.53,2020,SEMINUEVOS 
16506,MDHBD0FA5TG003128,2026-02-01,,677,352728.80,2345.65,2026,NUEVO 
16507,MDHBD0FA7TG002868,2026-02-01,,677,352728.80,921.50,2026,NUEVO 
16508,MDHBD0FA1TG006348,2026-02-01,,677,352728.80,2345.65,2026,NUEVO 
16509,3N8AP6HE4TL353744,2026-02-01,,672,506464.76,3367.99,2026,NUEVO 
16510,3N8AP6HE3TL354691,2026-02-01,,672,506464.76,3367.99,2026,NUEVO 
16511,3N8AP6HE3TL355176,2026-02-01,,672,506464.76,354.89,2026,NUEVO 
16512,3N8AP6HE7TL353379,2026-02-01,,672,538755.68,3582.73,2026,NUEVO 
16513,3N8AP6HE6TL354586,2026-02-01,,672,538755.68,3582.73,2026,NUEVO 
16514,3N8AP6HE0TL362733,2026-02-01,,672,538755.68,73.96,2026,NUEVO 
16515,3N8AP6HE3TL362404,2026-02-01,,672,506464.76,3367.99,2026,NUEVO 
16516,3N1CK3CE4SL226390,2026-02-01,,678,285561.32,339.10,2025,NUEVO 
16517,3N1CK3CE4SL228026,2026-02-01,,678,290035.44,196.22,2025,NUEVO 
16518,3N1CK3CE3SL226882,2026-02-01,,678,285561.32,746.03,2025,NUEVO 
16519,3N8AP6HE5TL359469,2026-02-01,,672,538755.68,511.82,2026,NUEVO 
16520,3N8AP6HE0TL363266,2026-02-01,,672,538755.68,3582.73,2026,NUEVO 
16521,3N6AD31A5TK814799,2026-02-01,,682,439774.04,2924.50,2026,NUEVO 
16522,MDHBD0FA2TG000400,2026-02-01,,677,352728.80,2345.65,2026,NUEVO 
16523,MDHBD0FA1TG000677,2026-02-01,,677,352728.80,2345.65,2026,NUEVO 
16524,3N1CN8AE5SL892813,2026-02-01,,704,346452.05,2303.91,2025,FLOTILLA 
16525,3N1CN8AE8SL892868,2026-02-01,,704,346452.05,2303.91,2025,FLOTILLA 
16526,3N6AD35AXTK808703,2026-02-01,,682,438905.20,2606.00,2026,FLOTILLA 
16527,JN6BE6CS0S9124517,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16528,JN6BE6CS9S9124516,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16529,JN6BE6CS2S9124535,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16530,JN6BE6CS7S9124529,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16531,JN6BE6CS3S9124527,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16532,JN6BE6CS7S9124546,2026-02-01,,701,548038.00,1952.39,2025,FLOTILLA 
16533,JN6BE6CS5S9124528,2026-02-01,,701,548038.01,1822.23,2025,FLOTILLA 
16534,JN6BE6CS3S9124561,2026-02-01,,701,548038.01,1822.23,2025,FLOTILLA 
16535,JN6BE6CS3S9124513,2026-02-01,,701,548038.01,1692.07,2025,FLOTILLA 
